timestamp,outdoor_temp_c,outdoor_rh_pct,outdoor_wind_m_s,outdoor_solar_w_m2,outdoor_cloud_okta,outdoor_rain_mm_day,outdoor_co2_ppm,outdoor_nh3_ppm,outdoor_h2o_g_m3,sensor_indoor_temp_c,sensor_indoor_rh_pct,sensor_indoor_wind_m_s,sensor_indoor_co2_ppm,sensor_indoor_nh3_ppm,sensor_indoor_h2o_g_m3,sensor_indoor_rad_kj_m2_day,sensor_indoor_okta,sensor_indoor_aha
2026-01-01T00:00:00,-4.0,78,1.5,20,4,0,420,0.2,2.8,16.3,72,0.12,1600,5.5,9.8,18.0,8.0,2.6
2026-01-01T00:05:00,-4.2,79,1.8,25,4,0,420,0.2,2.7,16.5,72,0.14,1620,5.7,9.9,18.5,8.0,2.6
2026-01-01T00:10:00,-4.1,78,1.7,35,5,0,421,0.2,2.8,16.7,73,0.15,1650,5.8,10.0,19.5,8.0,2.6
2026-01-01T00:15:00,-3.8,77,1.6,15,6,0,421,0.2,2.9,16.9,73,0.16,1680,6.0,10.1,14.0,8.0,2.6
2026-01-01T00:20:00,-3.6,76,1.4,10,6,0,422,0.2,3.0,17.1,72,0.15,1700,6.1,10.2,17.0,8.0,2.6
2026-01-01T00:25:00,-3.5,75,1.3,8,6,0,422,0.2,3.1,17.0,71,0.18,1710,6.4,10.5,15.0,8.0,2.6
2026-01-01T00:30:00,-3.3,74,1.2,6,6,0,423,0.2,3.2,16.8,70,0.22,1730,6.8,10.9,13.0,8.0,2.6
2026-01-01T00:35:00,-3.0,73,1.1,5,7,0,423,0.2,3.3,16.6,69,0.28,1760,7.2,11.4,12.0,8.0,2.6
2026-01-01T00:40:00,-2.8,72,1.0,3,7,0,424,0.2,3.4,16.3,68,0.34,1800,7.8,12.0,11.0,8.0,2.6
2026-01-01T00:45:00,-2.6,71,0.9,2,7,0,424,0.2,3.5,16.0,67,0.40,1850,8.5,12.8,10.0,8.0,2.6
