timestamp,outdoor_temp_c,indoor_temp_c,lct_c,uct_c,tnz_zone,outdoor_rh_pct,indoor_rh_pct,outdoor_wind_m_s,indoor_air_speed_m_s,outdoor_co2_ppm,indoor_co2_ppm,outdoor_nh3_ppm,indoor_nh3_ppm,outdoor_h2o_g_m3,indoor_h2o_g_m3,indoor_rad_kj_m2_day,indoor_okta,indoor_aha,outdoor_cloud_okta,outdoor_rain_mm_day,ventilation_group_pct,heating_group_pct,light_on,electric_kw,gas_kw,fan_power_w,heater_power_w,light_power_w,gas_index,reward,comfort_index,air_quality_penalty,cum_fan_kwh,cum_heater_kwh,cum_light_kwh
2026-01-01T00:00:00+300s,-6,16.1456,-9.75,30.75,1,78,29.7008,3.2,0.250901,420,1184.66,0.2,5.60494,-1,9.30518,204.202,8,1.30465,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.2173,0.76496,0,0.0552533,12.089,0.147
2026-01-01T00:00:00+600s,-6,15.3049,-10,33.5,1,78,18.7815,3.2,0.159848,420,988.439,0.2,3.63566,-1,6.59254,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-6.30923,1.31092,0,0.110507,24.178,0.294
2026-01-01T00:00:00+900s,-6,14.5614,-10,33.25,1,78,19.6964,3.2,0.159848,420,877.063,0.2,2.52235,-1,5.06135,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-6.21774,1.26518,0,0.16576,36.267,0.441
2026-01-01T00:00:00+1200s,-6,13.9008,-10,33,1,78,20.5514,3.2,0.159848,420,814.196,0.2,1.89392,-1,4.19705,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-6.13224,1.22243,0,0.221013,48.356,0.588
2026-01-01T00:00:00+1500s,-6,13.3111,-10,32.75,1,78,21.3501,3.2,0.159848,420,778.709,0.2,1.53919,-1,3.70918,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-6.05236,1.18249,0,0.276267,60.445,0.735
2026-01-01T00:00:00+1800s,-6,12.7819,-10,32.5,1,78,22.0966,3.2,0.159848,420,758.679,0.2,1.33896,-1,3.4338,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.97771,1.14517,0,0.33152,72.534,0.882
2026-01-01T00:00:00+2100s,-6,12.3044,-10,32.25,1,78,22.7954,3.2,0.159848,420,747.372,0.2,1.22594,-1,3.27835,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.90783,1.11023,0,0.386773,84.623,1.029
2026-01-01T00:00:00+2400s,-6,11.8711,-10,32,1,78,23.451,3.2,0.159848,420,740.99,0.2,1.16214,-1,3.19061,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.84228,1.07745,0,0.442027,96.712,1.176
2026-01-01T00:00:00+2700s,-6,11.4759,-10,31.75,1,78,24.0676,3.2,0.159848,420,737.387,0.2,1.12613,-1,3.14108,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.78062,1.04662,0,0.49728,108.801,1.323
2026-01-01T00:00:00+3000s,-6,11.1132,-10,31.75,1,78,24.6495,3.2,0.159848,420,735.354,0.2,1.10581,-1,3.11313,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.72243,1.01753,0,0.552533,120.89,1.47
