timestamp,outdoor_temp_c,indoor_temp_c,lct_c,uct_c,tnz_zone,outdoor_rh_pct,indoor_rh_pct,outdoor_wind_m_s,indoor_air_speed_m_s,outdoor_co2_ppm,indoor_co2_ppm,outdoor_nh3_ppm,indoor_nh3_ppm,outdoor_h2o_g_m3,indoor_h2o_g_m3,indoor_rad_kj_m2_day,indoor_okta,indoor_aha,outdoor_cloud_okta,outdoor_rain_mm_day,ventilation_group_pct,heating_group_pct,light_on,electric_kw,gas_kw,fan_power_w,heater_power_w,light_power_w,gas_index,reward,comfort_index,air_quality_penalty,cum_fan_kwh,cum_heater_kwh,cum_light_kwh
2026-01-01T00:00:00+300s,-6,16.1471,-15.25,27.5,1,78,29.7945,3.2,0.250901,420,1186.3,0.2,5.60494,-1,9.3167,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.20792,0.760273,0,0.0552533,12.089,0.147
2026-01-01T00:00:00+600s,-6,15.3081,-15.5,29.5,1,78,18.9512,3.2,0.159848,420,991.917,0.2,3.63566,-1,6.62206,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-6.29225,1.30244,0,0.110507,24.178,0.294
2026-01-01T00:00:00+900s,-6,14.5661,-15.5,29.25,1,78,19.872,3.2,0.159848,420,881.567,0.2,2.52235,-1,5.10103,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-6.20018,1.2564,0,0.16576,36.267,0.441
2026-01-01T00:00:00+1200s,-6,13.9069,-15.5,29,1,78,20.7323,3.2,0.159848,420,819.278,0.2,1.89392,-1,4.24246,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-6.11414,1.21338,0,0.221013,48.356,0.588
2026-01-01T00:00:00+1500s,-6,13.3184,-15.5,28.75,1,78,21.5359,3.2,0.159848,420,784.118,0.2,1.53919,-1,3.75783,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-6.03378,1.1732,0,0.276267,60.445,0.735
2026-01-01T00:00:00+1800s,-6,12.7903,-15.5,28.75,1,78,22.287,3.2,0.159848,420,764.272,0.2,1.33896,-1,3.48427,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.95868,1.13565,0,0.33152,72.534,0.882
2026-01-01T00:00:00+2100s,-6,12.3137,-15.5,28.5,1,78,22.9899,3.2,0.159848,420,753.069,0.2,1.22594,-1,3.32986,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.88838,1.1005,0,0.386773,84.623,1.029
2026-01-01T00:00:00+2400s,-6,11.8814,-15.5,28.25,1,78,23.6493,3.2,0.159848,420,746.746,0.2,1.16214,-1,3.2427,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.82245,1.06754,0,0.442027,96.712,1.176
2026-01-01T00:00:00+2700s,-6,11.487,-15.5,28.25,1,78,24.2694,3.2,0.159848,420,743.176,0.2,1.12613,-1,3.1935,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.76043,1.03653,0,0.49728,108.801,1.323
2026-01-01T00:00:00+3000s,-6,11.1251,-15.5,28,1,78,24.8546,3.2,0.159848,420,741.162,0.2,1.10581,-1,3.16573,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.70192,1.00727,0,0.552533,120.89,1.47
2026-01-01T00:00:00+3300s,-6,10.791,-15.5,28,1,78,25.4087,3.2,0.159848,420,740.024,0.2,1.09433,-1,3.15005,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.6465,0.979564,0,0.607787,132.979,1.617
2026-01-01T00:00:00+3600s,-6,10.4811,-15.5,27.75,1,78,25.9354,3.2,0.159848,420,739.382,0.2,1.08786,-1,3.14121,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.59384,0.95323,0,0.66304,145.068,1.764
2026-01-01T00:00:00+3900s,-6,10.1918,-15.5,27.75,1,78,26.4379,3.2,0.159848,420,739.02,0.2,1.0842,-1,3.13621,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.54359,0.928105,0,0.718293,157.157,1.911
2026-01-01T00:00:00+4200s,-6,9.92057,-15.5,27.5,1,78,26.9192,3.2,0.159848,420,738.816,0.2,1.08214,-1,3.13339,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.49546,0.904041,0,0.773547,169.246,2.058
2026-01-01T00:00:00+4500s,-6,9.66485,-15.5,27.5,1,78,27.3819,3.2,0.159848,420,738.7,0.2,1.08097,-1,3.1318,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.44919,0.880907,0,0.8288,181.335,2.205
2026-01-01T00:00:00+4800s,-6,9.42268,-15.5,27.5,1,78,27.8283,3.2,0.159848,420,738.635,0.2,1.08031,-1,3.1309,195.696,8,1.28023,6,0,40,55,1,2.42704,145.068,663.04,145068,1764,0,-5.40455,0.858586,0,0.884053,193.424,2.352
