dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1420070400,2015-01-01 00:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,2.45,,-5.9,2.45,0.23,5.25,1020,,,51,0.96,92,,,,,,0,800,Clear,sky is clear,01n
1420074000,2015-01-01 01:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,3.97,,-4.65,3.97,1.49,5.34,1020,,,51,0.82,89,,,,,,0,800,Clear,sky is clear,01n
1420077600,2015-01-01 02:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,3.07,,-4.94,3.07,0.57,4.49,1020,,,53,0.67,94,,,,,,0,800,Clear,sky is clear,01n
1420081200,2015-01-01 03:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,1.39,,-6.56,1.39,-0.56,4.24,1020,,,52,0.54,96,,,,,,0,800,Clear,sky is clear,01n
1420084800,2015-01-01 04:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,2.28,,-5.82,2.28,-0.41,4.55,1021,,,52,0.42,104,,,,,,0,800,Clear,sky is clear,01d
1420088400,2015-01-01 05:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,4.48,,-5.69,4.48,3.44,5.98,1021,,,45,0.27,135,,,,,,0,800,Clear,sky is clear,01d
1420092000,2015-01-01 06:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,5.6,,-5.31,5.6,4.68,7.07,1022,,,43,0.23,85,,,,,,0,800,Clear,sky is clear,01d
1420095600,2015-01-01 07:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,7.47,,-5.56,7.47,6.14,9.02,1021,,,37,0.14,178,,,,,,0,800,Clear,sky is clear,01d
1420099200,2015-01-01 08:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,9.63,,-5.19,9.63,8.3,10.62,1020,,,33,0.04,291,,,,,,0,800,Clear,sky is clear,01d
1420102800,2015-01-01 09:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,10.49,,-4.87,8.43,9.92,10.99,1018,,,32,0.36,98,,,,,,0,800,Clear,sky is clear,01d
1420106400,2015-01-01 10:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,10.74,,-6.23,8.6,9.55,11.52,1017,,,28,0.09,136,,,,,,0,800,Clear,sky is clear,01d
1420110000,2015-01-01 11:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,10.89,,-6.54,8.74,9.79,11.57,1017,,,27,0.96,275,,,,,,0,800,Clear,sky is clear,01d
1420113600,2015-01-01 12:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,11.07,,-6.84,8.91,10.08,11.84,1017,,,26,0.86,318,,,,,,52,803,Clouds,broken clouds,04d
1420117200,2015-01-01 13:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,10.31,,-5.77,8.18,9.35,11.66,1018,,,30,1.22,335,,,,,,100,804,Clouds,overcast clouds,04d
1420120800,2015-01-01 14:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,9.06,,-6.36,9.06,8.32,10,1018,,,31,1.13,8,,,,,,91,804,Clouds,overcast clouds,04n
1420124400,2015-01-01 15:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,9.61,,-5.93,9.61,8.77,10.56,1019,,,31,1.22,46,,,,,,16,801,Clouds,few clouds,02n
1420128000,2015-01-01 16:00:00 +0000 UTC,12600,Custom location,36.085925,50.391289,9.19,,-5.18,9.19,8.12,9.85,1019,,,34,0.96,69,,,,,,1,800,Clear,sky is clear,01n
