fattening_day,doy,rad,mint,maxt,vpr,wind,rain,aha,okta,growth_start_date,growth_date,tbw_kg,genetic_potential_tbw_kg,feed_intake_kg_dm_day,feed1_available_kg_dm_day,feed2_available_kg_dm_day,feed3_available_kg_dm_day,feed4_available_kg_dm_day,beef_production_kg,beef_event_kg,me_uptake_mj_day,heat_production,genotype,heat_stress,cold_stress,digestion_cap,energy,protein,scale,breed,diet,sex_animal,housing,case_id
1,1,0,10.866900000000001,11.56026,0.933,0.85,2.2,0.920257639,6.16523966,1998-01-01,1998-01-01,43.0,43.0,0.0,0.0,0.0,0.0,0.0,16.125,0.0,0.0,9.0,0.0,4.5,3.5,0.0,0.0,0.0,1,6,5,0,0,5
2,2,0,9.39351,13.987020000000001,0.858,2.5,5.0,0.915413096,5.935020311,1998-01-01,1998-01-02,43.447498458377645,46.736070979478086,0.0,0.0,0.0,0.0,0.0,16.527748612539888,0.0,0.0,5.5658164179172935,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
3,3,0,9.22017,16.58712,0.893,2.5,2.2,0.910269181,5.829516618,1998-01-01,1998-01-03,44.431179930165,47.90159255241451,0.0,0.0,0.0,0.0,0.0,16.837241840532897,0.0,0.0,5.731370733446534,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
4,4,0,7.833449999999999,15.980430000000002,0.753,2.5,1.2,0.904840361,4.037483894,1998-01-01,1998-01-04,45.439853023470185,49.06909675724984,0.0,0.0,0.0,0.0,0.0,17.158191127692984,0.0,0.0,5.752336560314509,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
5,5,0,8.61348,15.027059999999999,0.743,2.5,5.0,0.89914155,2.120449931,1998-01-01,1998-01-05,46.46540513545238,50.23857159271273,0.0,0.0,0.0,0.0,0.0,17.488115972007424,0.0,0.0,5.7702612804287154,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
6,6,0,11.47359,14.593710000000002,0.943,1.65,4.0,0.893188024,6.051566937,1998-01-01,1998-01-06,47.503281342121504,51.41000502965602,0.0,0.0,0.0,0.0,0.0,17.825601697611305,0.0,0.0,5.792933927901635,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
7,7,0,9.91353,16.84713,0.918,1.45,0.0,0.886995327,3.203149524,1998-01-01,1998-01-07,48.55054566635005,52.58338501157954,0.0,0.0,0.0,0.0,0.0,18.16971702074563,0.0,0.0,5.814303784763653,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
8,8,0,8.18013,17.54049,0.813,0.9,0.0,0.880579186,0.0,1998-01-01,1998-01-08,49.60514032940342,53.75869945515052,0.0,0.0,0.0,0.0,0.0,18.51979290037262,0.0,0.0,5.834626004364228,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
9,9,0,4.8,15.72042,0.713,0.6,0.0,0.873955426,0.0,1998-01-01,1998-01-09,50.665539164936696,54.93593625072424,0.0,0.0,0.0,0.0,0.0,18.875319585411845,0.0,0.0,5.854299726864418,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
10,10,0,5.49336,15.72042,0.768,1.1,0.0,0.867139891,0.0,1998-01-01,1998-01-10,51.73056311719235,56.11508326286332,0.0,0.0,0.0,0.0,0.0,19.235891999876543,0.0,0.0,5.8736159024737455,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
