id,fattening_day,growth_date,tbw_kg,feed_intake_kg_dm_day,beef_production_kg,heat_production,diet,breed,status,raw_json,biological_phase,adg_kg_day,feed_efficiency,dominant_limitation,daily_climate_context_id
1,1,2016-07-15,43.0,0.0,16.125,9.0,2,6,OK,"{""fattening_day"": 1, ""growth_date"": ""2016-07-15"", ""tbw_kg"": 43.0, ""feed_intake_kg_dm_day"": 0.0, ""beef_production_kg"": 16.125, ""heat_production"": 9.0, ""diet"": 2, ""breed"": 6, ""biological_phase"": ""P1"", ""adg_kg_day"": 0.8, ""feed_efficiency"": 8.0, ""dominant_limitation"": ""balanced"", ""status"": ""OK"", ""doy"": 197, ""rad"": 0.0, ""mint"": 19.62169671, ""maxt"": 20.82692973, ""vpr"": 1.2433803420869938, ""wind"": 0.0559452213541666, ""rain"": 18.0, ""aha"": 1.3, ""okta"": 0.0, ""growth_start_date"": ""2016-07-15"", ""genetic_potential_tbw_kg"": 43.0, ""feed1_available_kg_dm_day"": 0.0, ""feed2_available_kg_dm_day"": 0.0, ""feed3_available_kg_dm_day"": 0.0, ""feed4_available_kg_dm_day"": 0.0, ""beef_event_kg"": 0.0, ""me_uptake_mj_day"": 0.0, ""genotype"": 0.0, ""heat_stress"": 4.5, ""cold_stress"": 3.5, ""digestion_cap"": 0.0, ""energy"": 0.0, ""protein"": 0.0, ""scale"": 1, ""sex_animal"": 0, ""housing"": 0, ""case_id"": 1, ""daily_climate_context_id"": ""C02""}",P1,0.8,8.0,balanced,C02
2,2,2016-07-16,43.36341502294347,0.0,16.452073520649126,4.872943773817167,2,6,OK,"{""fattening_day"": 2, ""growth_date"": ""2016-07-16"", ""tbw_kg"": 43.36341502294347, ""feed_intake_kg_dm_day"": 0.0, ""beef_production_kg"": 16.452073520649126, ""heat_production"": 4.872943773817167, ""diet"": 2, ""breed"": 6, ""biological_phase"": ""P1"", ""adg_kg_day"": 0.36341502294347094, ""feed_efficiency"": 3.6341502294347094, ""dominant_limitation"": ""balanced"", ""status"": ""OK"", ""doy"": 198, ""rad"": 0.0, ""mint"": 19.58711538, ""maxt"": 20.60375448, ""vpr"": 1.2316930895245135, ""wind"": 0.0462379861111111, ""rain"": 18.0, ""aha"": 1.3, ""okta"": 1.0, ""growth_start_date"": ""2016-07-15"", ""genetic_potential_tbw_kg"": 46.736070979478086, ""feed1_available_kg_dm_day"": 0.0, ""feed2_available_kg_dm_day"": 0.0, ""feed3_available_kg_dm_day"": 0.0, ""feed4_available_kg_dm_day"": 0.0, ""beef_event_kg"": 0.0, ""me_uptake_mj_day"": 0.0, ""genotype"": 0.0, ""heat_stress"": 4.5, ""cold_stress"": 3.5, ""digestion_cap"": 0.0, ""energy"": 0.0, ""protein"": 0.5, ""scale"": 1, ""sex_animal"": 0, ""housing"": 0, ""case_id"": 1, ""daily_climate_context_id"": ""C10""}",P1,0.36341502294347094,3.6341502294347094,balanced,C10
3,3,2016-07-17,44.34302525156587,0.0,16.760273196794685,4.926762364399036,2,6,OK,"{""fattening_day"": 3, ""growth_date"": ""2016-07-17"", ""tbw_kg"": 44.34302525156587, ""feed_intake_kg_dm_day"": 0.0, ""beef_production_kg"": 16.760273196794685, ""heat_production"": 4.926762364399036, ""diet"": 2, ""breed"": 6, ""biological_phase"": ""P1"", ""adg_kg_day"": 0.9796102286223984, ""feed_efficiency"": 9.796102286223984, ""dominant_limitation"": ""balanced"", ""status"": ""OK"", ""doy"": 199, ""rad"": 0.0, ""mint"": 19.58018178, ""maxt"": 20.37997254, ""vpr"": 1.2213136782232594, ""wind"": 0.0445350046875, ""rain"": 18.0, ""aha"": 1.3, ""okta"": 2.0, ""growth_start_date"": ""2016-07-15"", ""genetic_potential_tbw_kg"": 47.90159255241451, ""feed1_available_kg_dm_day"": 0.0, ""feed2_available_kg_dm_day"": 0.0, ""feed3_available_kg_dm_day"": 0.0, ""feed4_available_kg_dm_day"": 0.0, ""beef_event_kg"": 0.0, ""me_uptake_mj_day"": 0.0, ""genotype"": 0.0, ""heat_stress"": 4.5, ""cold_stress"": 3.5, ""digestion_cap"": 0.0, ""energy"": 0.0, ""protein"": 0.5, ""scale"": 1, ""sex_animal"": 0, ""housing"": 0, ""case_id"": 1, ""daily_climate_context_id"": ""C10""}",P1,0.9796102286223984,9.796102286223984,balanced,C10
4,4,2016-07-18,45.34770077781856,0.0,17.07993554274726,4.991292689826549,2,6,OK,"{""fattening_day"": 4, ""growth_date"": ""2016-07-18"", ""tbw_kg"": 45.34770077781856, ""feed_intake_kg_dm_day"": 0.0, ""beef_production_kg"": 17.07993554274726, ""heat_production"": 4.991292689826549, ""diet"": 2, ""breed"": 6, ""biological_phase"": ""P1"", ""adg_kg_day"": 1.00467552625269, ""feed_efficiency"": 10.0467552625269, ""dominant_limitation"": ""balanced"", ""status"": ""OK"", ""doy"": 200, ""rad"": 0.0, ""mint"": 19.57411488, ""maxt"": 20.26773489, ""vpr"": 1.2160211867669817, ""wind"": 0.0470515979166666, ""rain"": 18.0, ""aha"": 1.3, ""okta"": 1.0, ""growth_start_date"": ""2016-07-15"", ""genetic_potential_tbw_kg"": 49.06909675724984, ""feed1_available_kg_dm_day"": 0.0, ""feed2_available_kg_dm_day"": 0.0, ""feed3_available_kg_dm_day"": 0.0, ""feed4_available_kg_dm_day"": 0.0, ""beef_event_kg"": 0.0, ""me_uptake_mj_day"": 0.0, ""genotype"": 0.0, ""heat_stress"": 4.5, ""cold_stress"": 3.5, ""digestion_cap"": 0.0, ""energy"": 0.0, ""protein"": 0.5, ""scale"": 1, ""sex_animal"": 0, ""housing"": 0, ""case_id"": 1, ""daily_climate_context_id"": ""C02""}",P1,1.00467552625269,10.0467552625269,balanced,C02
5,5,2016-07-19,46.369327893702014,0.0,17.40858101728917,5.038871951011995,2,6,OK,"{""fattening_day"": 5, ""growth_date"": ""2016-07-19"", ""tbw_kg"": 46.369327893702014, ""feed_intake_kg_dm_day"": 0.0, ""beef_production_kg"": 17.40858101728917, ""heat_production"": 5.038871951011995, ""diet"": 2, ""breed"": 6, ""biological_phase"": ""P1"", ""adg_kg_day"": 1.0216271158834545, ""feed_efficiency"": 10.216271158834545, ""dominant_limitation"": ""balanced"", ""status"": ""OK"", ""doy"": 201, ""rad"": 0.0, ""mint"": 19.59690909, ""maxt"": 20.14709025, ""vpr"": 1.2116589287025532, ""wind"": 0.0479203112847221, ""rain"": 18.0, ""aha"": 1.3, ""okta"": 1.0, ""growth_start_date"": ""2016-07-15"", ""genetic_potential_tbw_kg"": 50.23857159271273, ""feed1_available_kg_dm_day"": 0.0, ""feed2_available_kg_dm_day"": 0.0, ""feed3_available_kg_dm_day"": 0.0, ""feed4_available_kg_dm_day"": 0.0, ""beef_event_kg"": 0.0, ""me_uptake_mj_day"": 0.0, ""genotype"": 0.0, ""heat_stress"": 4.5, ""cold_stress"": 3.5, ""digestion_cap"": 0.0, ""energy"": 0.0, ""protein"": 0.5, ""scale"": 1, ""sex_animal"": 0, ""housing"": 0, ""case_id"": 1, ""daily_climate_context_id"": ""C02""}",P1,1.0216271158834545,10.216271158834545,balanced,C02
6,6,2016-07-20,47.40335001945766,0.0,17.744795622167583,5.1101746072635255,2,6,OK,"{""fattening_day"": 6, ""growth_date"": ""2016-07-20"", ""tbw_kg"": 47.40335001945766, ""feed_intake_kg_dm_day"": 0.0, ""beef_production_kg"": 17.744795622167583, ""heat_production"": 5.1101746072635255, ""diet"": 2, ""breed"": 6, ""biological_phase"": ""P1"", ""adg_kg_day"": 1.034022125755648, ""feed_efficiency"": 10.340221257556479, ""dominant_limitation"": ""balanced"", ""status"": ""OK"", ""doy"": 202, ""rad"": 0.0, ""mint"": 19.58399526, ""maxt"": 19.89297381, ""vpr"": 1.1998241734901596, ""wind"": 0.0475326399305555, ""rain"": 18.0, ""aha"": 1.3, ""okta"": 0.0, ""growth_start_date"": ""2016-07-15"", ""genetic_potential_tbw_kg"": 51.41000502965602, ""feed1_available_kg_dm_day"": 0.0, ""feed2_available_kg_dm_day"": 0.0, ""feed3_available_kg_dm_day"": 0.0, ""feed4_available_kg_dm_day"": 0.0, ""beef_event_kg"": 0.0, ""me_uptake_mj_day"": 0.0, ""genotype"": 0.0, ""heat_stress"": 4.5, ""cold_stress"": 3.5, ""digestion_cap"": 0.0, ""energy"": 0.0, ""protein"": 0.5, ""scale"": 1, ""sex_animal"": 0, ""housing"": 0, ""case_id"": 1, ""daily_climate_context_id"": ""C02""}",P1,1.034022125755648,10.340221257556479,balanced,C02
7,7,2016-07-21,48.446829276695,0.0,18.08764855678958,5.104051136992458,2,6,OK,"{""fattening_day"": 7, ""growth_date"": ""2016-07-21"", ""tbw_kg"": 48.446829276695, ""feed_intake_kg_dm_day"": 0.0, ""beef_production_kg"": 18.08764855678958, ""heat_production"": 5.104051136992458, ""diet"": 2, ""breed"": 6, ""biological_phase"": ""P1"", ""adg_kg_day"": 1.0434792572373368, ""feed_efficiency"": 10.434792572373368, ""dominant_limitation"": ""balanced"", ""status"": ""OK"", ""doy"": 203, ""rad"": 0.0, ""mint"": 19.58122182, ""maxt"": 20.84963727, ""vpr"": 1.2425716252689705, ""wind"": 0.0440854874999999, ""rain"": 18.0, ""aha"": 1.3, ""okta"": 0.0, ""growth_start_date"": ""2016-07-15"", ""genetic_potential_tbw_kg"": 52.58338501157954, ""feed1_available_kg_dm_day"": 0.0, ""feed2_available_kg_dm_day"": 0.0, ""feed3_available_kg_dm_day"": 0.0, ""feed4_available_kg_dm_day"": 0.0, ""beef_event_kg"": 0.0, ""me_uptake_mj_day"": 0.0, ""genotype"": 0.0, ""heat_stress"": 4.5, ""cold_stress"": 3.5, ""digestion_cap"": 0.0, ""energy"": 0.0, ""protein"": 0.5, ""scale"": 1, ""sex_animal"": 0, ""housing"": 0, ""case_id"": 1, ""daily_climate_context_id"": ""C10""}",P1,1.0434792572373368,10.434792572373368,balanced,C10
8,8,2016-07-22,49.49770587926547,0.0,18.436471116583707,5.176092540717789,2,6,OK,"{""fattening_day"": 8, ""growth_date"": ""2016-07-22"", ""tbw_kg"": 49.49770587926547, ""feed_intake_kg_dm_day"": 0.0, ""beef_production_kg"": 18.436471116583707, ""heat_production"": 5.176092540717789, ""diet"": 2, ""breed"": 6, ""biological_phase"": ""P1"", ""adg_kg_day"": 1.0508766025704688, ""feed_efficiency"": 10.508766025704688, ""dominant_limitation"": ""balanced"", ""status"": ""OK"", ""doy"": 204, ""rad"": 0.0, ""mint"": 19.57766835, ""maxt"": 20.56059282, ""vpr"": 1.2293195572501752, ""wind"": 0.0464639753472222, ""rain"": 18.0, ""aha"": 1.3, ""okta"": 0.0, ""growth_start_date"": ""2016-07-15"", ""genetic_potential_tbw_kg"": 53.75869945515052, ""feed1_available_kg_dm_day"": 0.0, ""feed2_available_kg_dm_day"": 0.0, ""feed3_available_kg_dm_day"": 0.0, ""feed4_available_kg_dm_day"": 0.0, ""beef_event_kg"": 0.0, ""me_uptake_mj_day"": 0.0, ""genotype"": 0.0, ""heat_stress"": 4.5, ""cold_stress"": 3.5, ""digestion_cap"": 0.0, ""energy"": 0.0, ""protein"": 0.5, ""scale"": 1, ""sex_animal"": 0, ""housing"": 0, ""case_id"": 1, ""daily_climate_context_id"": ""C10""}",P1,1.0508766025704688,10.508766025704688,balanced,C10
9,9,2016-07-23,50.55445162099189,0.0,18.7907537717976,5.261039732545962,2,6,OK,"{""fattening_day"": 9, ""growth_date"": ""2016-07-23"", ""tbw_kg"": 50.55445162099189, ""feed_intake_kg_dm_day"": 0.0, ""beef_production_kg"": 18.7907537717976, ""heat_production"": 5.261039732545962, ""diet"": 2, ""breed"": 6, ""biological_phase"": ""P1"", ""adg_kg_day"": 1.0567457417264237, ""feed_efficiency"": 10.567457417264237, ""dominant_limitation"": ""balanced"", ""status"": ""OK"", ""doy"": 205, ""rad"": 0.0, ""mint"": 19.57801503, ""maxt"": 19.98831081, ""vpr"": 1.2037731298435637, ""wind"": 0.0487013736111111, ""rain"": 18.0, ""aha"": 1.3, ""okta"": 0.0, ""growth_start_date"": ""2016-07-15"", ""genetic_potential_tbw_kg"": 54.93593625072424, ""feed1_available_kg_dm_day"": 0.0, ""feed2_available_kg_dm_day"": 0.0, ""feed3_available_kg_dm_day"": 0.0, ""feed4_available_kg_dm_day"": 0.0, ""beef_event_kg"": 0.0, ""me_uptake_mj_day"": 0.0, ""genotype"": 0.0, ""heat_stress"": 4.5, ""cold_stress"": 3.5, ""digestion_cap"": 0.0, ""energy"": 0.0, ""protein"": 0.5, ""scale"": 1, ""sex_animal"": 0, ""housing"": 0, ""case_id"": 1, ""daily_climate_context_id"": ""C02""}",P1,1.0567457417264237,10.567457417264237,balanced,C02
10,10,2016-07-24,51.61588541606402,0.0,19.150091575803906,5.222679544646729,2,6,OK,"{""fattening_day"": 10, ""growth_date"": ""2016-07-24"", ""tbw_kg"": 51.61588541606402, ""feed_intake_kg_dm_day"": 0.0, ""beef_production_kg"": 19.150091575803906, ""heat_production"": 5.222679544646729, ""diet"": 2, ""breed"": 6, ""biological_phase"": ""P1"", ""adg_kg_day"": 1.0614337950721264, ""feed_efficiency"": 10.614337950721264, ""dominant_limitation"": ""balanced"", ""status"": ""OK"", ""doy"": 206, ""rad"": 0.0, ""mint"": 19.57428822, ""maxt"": 21.22821183, ""vpr"": 1.2595839436282283, ""wind"": 0.0484976277777777, ""rain"": 18.0, ""aha"": 1.3, ""okta"": 0.0, ""growth_start_date"": ""2016-07-15"", ""genetic_potential_tbw_kg"": 56.11508326286332, ""feed1_available_kg_dm_day"": 0.0, ""feed2_available_kg_dm_day"": 0.0, ""feed3_available_kg_dm_day"": 0.0, ""feed4_available_kg_dm_day"": 0.0, ""beef_event_kg"": 0.0, ""me_uptake_mj_day"": 0.0, ""genotype"": 0.0, ""heat_stress"": 4.5, ""cold_stress"": 3.5, ""digestion_cap"": 0.0, ""energy"": 0.0, ""protein"": 0.5, ""scale"": 1, ""sex_animal"": 0, ""housing"": 0, ""case_id"": 1, ""daily_climate_context_id"": ""C02""}",P1,1.0614337950721264,10.614337950721264,balanced,C02
