abrupt_actuator_changes,actuator_command_changes,comfort_error_max,comfort_error_mean,comfort_error_min,context_counts_json,dominant_climate_context_id,electric_kw_max,electric_kw_mean,electric_kw_min,energy_cost_max,energy_cost_mean,energy_cost_min,first_timestamp,gas_kw_max,gas_kw_mean,gas_kw_min,heating_group_pct_max,heating_group_pct_mean,heating_group_pct_min,heating_ventilation_conflict_penalty_max,heating_ventilation_conflict_penalty_mean,heating_ventilation_conflict_penalty_min,indoor_air_speed_m_s_max,indoor_air_speed_m_s_mean,indoor_air_speed_m_s_min,indoor_rh_pct_max,indoor_rh_pct_mean,indoor_rh_pct_min,indoor_temp_c_max,indoor_temp_c_mean,indoor_temp_c_min,last_timestamp,lct_c_max,lct_c_mean,lct_c_min,learning_elapsed_sec_max,learning_elapsed_sec_mean,learning_elapsed_sec_min,light_on_max,light_on_mean,light_on_min,mpc_score_max,mpc_score_mean,mpc_score_min,oscillation_penalty_max,oscillation_penalty_mean,oscillation_penalty_min,oscillatory_actuator_reversals,outdoor_cloud_okta_max,outdoor_cloud_okta_mean,outdoor_cloud_okta_min,outdoor_rain_mm_day_max,outdoor_rain_mm_day_mean,outdoor_rain_mm_day_min,outdoor_rh_pct_max,outdoor_rh_pct_mean,outdoor_rh_pct_min,outdoor_solar_w_m2_max,outdoor_solar_w_m2_mean,outdoor_solar_w_m2_min,outdoor_temp_c_max,outdoor_temp_c_mean,outdoor_temp_c_min,outdoor_wind_m_s_max,outdoor_wind_m_s_mean,outdoor_wind_m_s_min,period,rl_q_delta_max,rl_q_delta_mean,rl_q_delta_min,rl_td_error_max,rl_td_error_mean,rl_td_error_min,state_estimation_temp_error_c_max,state_estimation_temp_error_c_mean,state_estimation_temp_error_c_min,state_estimation_uncertainty_radius_max,state_estimation_uncertainty_radius_mean,state_estimation_uncertainty_radius_min,steps,switch_penalty_max,switch_penalty_mean,switch_penalty_min,uct_c_max,uct_c_mean,uct_c_min,ventilation_group_pct_max,ventilation_group_pct_mean,ventilation_group_pct_min
10,14,0.007979473684210526,0.004706076388888891,0.004213947368421049,"{""C02"": 288}",C02,12.124,1.3732851736111156,0.0,274.12,4.578701840277783,0.0,2016-07-15 00:00:00,131.88,0.45791666666666664,0.0,50.0,0.1736111111111111,0.0,1.0,0.01171875,0.0,0.213057,0.11189044270833332,0.0938001,66.0436,62.19828263888888,48.8861,17.4919,16.28746979166666,16.1013,2016-07-15 23:55:00,-7.75,-8.13107638888889,-8.75,522.4944303035736,254.7912366249495,2.175672769546509,1.0,0.6666666666666666,0.0,1521505.8620386876,152798.44935520785,-3.5262790785553064,1.25,0.03233506944444445,0.0,6,3.0,0.3020833333333333,0.0,18.0,18.0,18.0,36.0,23.90451388888889,17.0,793.3333,249.2746302083334,0.0,35.99,30.06402777777778,23.68,6.0,4.127916666666668,2.66,2016-07-15,0.07889088947330919,0.01042104419512811,2.8964721466850918e-06,0.9861361184163648,0.1302592194187956,-0.000551954924033704,0.0,0.0,0.0,0.995,0.5270322856688606,0.0,288,4.0,0.07903645833333334,0.0,28.25,26.08767361111111,25.25,100.0,7.03125,0.0
4,6,0.00740789473684211,0.00439082054093567,0.0041089473684210506,"{""C10"": 288}",C10,12.124,1.2164687500000038,0.0,275.884,2.8191770833333374,0.0,2016-07-16 00:00:00,197.82,0.686875,0.0,75.0,0.2604166666666667,0.0,1.0,0.004774305555555556,0.0,0.195534,0.09247597222222227,0.0839035,72.4778,64.11468645833332,28.9807,17.2344,16.168231944444443,16.0614,2016-07-16 23:55:00,-7.75,-8.1953125,-8.75,1089.877697467804,802.3995372255644,524.777250289917,1.0,0.6666666666666666,0.0,42376236.87419145,16416563.626818964,1214265.1584939845,1.25,0.013237847222222222,0.0,2,5.0,0.8680555555555556,0.0,18.0,18.0,18.0,52.6667,21.208333333333332,6.0,800.0,252.62867048611108,0.0,38.32,30.413229166666667,21.7283,3.47,2.3046527777777785,0.62,2016-07-16,0.07805326663571838,0.007022660561285216,5.351889550420097e-07,0.9756658329464797,0.08778269467400153,-8.097725717814974e-05,0.0,0.0,0.0,0.23607350863684065,0.12523806052550815,0.05601075525639029,288,4.0,0.028906249999999998,0.0,31.0,25.817708333333332,25.0,100.0,0.5208333333333334,0.0
10,14,0.006516315789473682,0.004271259137426898,0.0040878947368421055,"{""C10"": 288}",C10,6.13462,1.216468767361115,0.0,266.819,4.879802100694419,0.0,2016-07-17 00:00:00,263.76,3.663333333333333,0.0,100.0,1.3888888888888888,0.0,0.5,0.006727430555555556,0.0,0.168657,0.08907000937500001,0.0841616,80.6329,70.54732916666666,37.7692,16.9762,16.123078472222222,16.0534,2016-07-17 23:55:00,-7.75,-8.171875,-8.5,1606.8003129959106,1355.2709992395507,1092.0144701004028,1.0,0.6666666666666666,0.0,170635429.24693093,94472751.25727525,40747736.10086854,1.5,0.029947916666666668,0.0,6,4.0,1.6909722222222223,0.0,18.0,18.0,18.0,60.0,32.44618055555556,9.0,669.7086,211.95717916666672,0.0,35.55,28.49829861111111,21.31,2.32,1.4387500000000004,0.71,2016-07-17,0.0780660226065296,0.0011762016097597514,8.599834400158102e-09,0.9758252825816199,0.01466552885237614,-0.0006581399687959344,0.0,0.0,0.0,0.05573070148010834,0.05022153489586831,0.05,288,2.25,0.05364583333333333,0.0,29.5,25.130208333333332,24.25,75.0,1.0416666666666667,0.0
8,10,0.00617552631578947,0.0043969289108187135,0.004069473684210522,"{""C02"": 288}",C02,6.13462,1.196234375000004,0.0,265.055,4.17269270833334,0.0,2016-07-18 00:00:00,263.76,2.9764583333333334,0.0,100.0,1.1284722222222223,0.0,0.5,0.003689236111111111,0.0,0.179018,0.09410319583333336,0.0821406,75.3896,69.23903298611111,65.5203,16.8467,16.170832986111108,16.0464,2016-07-18 23:55:00,-8.0,-8.191840277777779,-8.75,2111.9268436431885,1861.0302011900478,1608.7053985595703,1.0,0.6666666666666666,0.0,747694890.4936651,410378725.2633983,171411329.93039808,1.5,0.023220486111111112,0.0,4,2.0,0.7743055555555556,0.0,18.0,18.0,18.0,58.0,30.515625,20.0,693.0942,228.58070138888883,0.0,35.36,29.300538194444446,21.85,4.39,2.646649305555559,0.17,2016-07-18,0.07805714179036893,0.0006900723980919002,1.4531952308161067e-09,0.9757142723796116,0.008592613355210409,-0.0006411492217581749,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,2.25,0.04366319444444444,0.0,26.0,25.244791666666668,24.5,75.0,0.5208333333333334,0.0
6,15,0.005809210526315788,0.004483419225146201,0.004138684210526319,"{""C02"": 288}",C02,6.13462,1.1973585243055593,0.0,265.68588,4.631733524305555,0.0,2016-07-19 00:00:00,263.76,3.434375,0.0,100.0,1.3020833333333333,0.0,0.25,0.0030381944444444445,0.0,0.170156,0.09584062256944438,0.0852485,69.6322,65.48688020833333,51.9934,16.7075,16.203699305555556,16.0727,2016-07-19 23:55:00,-7.75,-8.183159722222221,-8.75,2615.2459383010864,2364.240874433683,2113.6700987815857,1.0,0.6666666666666666,0.0,3409568123.356841,1748412739.7415578,751386937.2188612,1.3125,0.019965277777777776,0.0,7,2.0,0.8368055555555556,0.0,18.0,18.0,18.0,30.0,20.442708333333332,12.0,772.7407,234.37628576388886,0.0,38.41,31.95583333333333,25.6425,5.08,2.9555555555555575,0.97,2016-07-19,0.033799925667905566,0.0005916209648548159,1.7558179465915202e-08,0.4224990708488196,0.007332805329443233,-0.0003899689853191779,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,2.0625,0.04105902777777778,0.0,27.5,25.66232638888889,25.25,75.0,0.6944444444444444,0.0
0,4,0.005037631578947371,0.004467975146198832,0.004099473684210527,"{""C02"": 288}",C02,1.764,1.1804965277777815,0.0,1.764,1.1804965277777815,0.0,2016-07-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138435,0.09506527986111107,0.085723,84.1483,67.79529618055558,57.238,16.4143,16.197830555555555,16.0578,2016-07-20 23:55:00,-8.0,-8.211805555555555,-8.75,3118.8229415416718,2867.5093783280918,2616.987067222595,1.0,0.6666666666666666,0.0,13873334621.931887,7325594501.652576,3078595481.651631,0.25,0.0008680555555555555,0.0,1,0.0,0.0,0.0,18.0,18.0,18.0,59.0,28.23611111111111,13.0,800.0,253.7751631944445,0.0,37.94,30.72819444444443,22.3742,5.45,2.9682465277777794,1.05,2016-07-20,0.07759999706858488,0.005286239252270747,4.2577537606725e-08,0.9699999633573109,0.06600789353900983,-0.00014369409026815383,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,0.25,0.0024305555555555556,0.0,26.25,25.407118055555557,24.25,50.0,0.1736111111111111,0.0
2,8,0.007942368421052634,0.004316540570175441,0.004091052631578949,"{""C10"": 288}",C10,12.124,1.2170308333333373,0.0,67.86588,1.4459891666666707,0.0,2016-07-21 00:00:00,65.94,0.22895833333333332,0.0,25.0,0.08680555555555555,0.0,0.0625,0.00021701388888888888,0.0,0.19296,0.08817097499999996,0.0831034,73.7321,69.63476874999998,54.9066,17.5181,16.140285416666675,16.0546,2016-07-21 23:55:00,-8.0,-8.200520833333334,-8.75,3662.547333717346,3377.8064021600617,3120.576243162155,1.0,0.6666666666666666,0.0,53829391468.73066,29909041882.666412,12786328308.005888,1.25,0.007378472222222222,0.0,3,2.0,0.4791666666666667,0.0,18.0,18.0,18.0,56.0,23.854166666666668,13.0,733.3333,228.876154513889,0.0,40.17,31.998454861111085,22.08,2.8,1.3893055555555553,0.47,2016-07-21,0.07489415840748369,0.0006033994039934596,4.522750063351566e-09,0.9361769800935461,0.007488188212412089,-0.0010422948731344528,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,2.0,0.017187499999999998,0.0,26.75,25.19878472222222,24.5,100.0,0.6076388888888888,0.0
12,16,0.0070647368421052625,0.0044624451754385975,0.004080263157894735,"{""C10"": 288}",C10,6.13462,1.2423237847222264,0.0,265.68588,4.447740451388873,0.0,2016-07-22 00:00:00,263.76,3.2054166666666664,0.0,100.0,1.2152777777777777,0.0,0.375,0.006293402777777778,0.0,0.185739,0.0929279506944445,0.0819874,71.1145,66.48304131944438,47.0893,17.1846,16.195729166666663,16.0505,2016-07-22 23:55:00,-7.75,-8.182291666666666,-8.75,4229.90091085434,3951.7216450365054,3664.664006471634,1.0,0.6666666666666666,0.0,227193040985.64822,129452763674.08318,54070910701.408966,1.3125,0.03407118055555555,0.0,8,2.0,0.2708333333333333,0.0,18.0,18.0,18.0,36.8333,19.57465277777778,11.0,753.3333,236.99531701388892,0.0,40.16,32.70749999999998,24.48,4.37,2.1023611111111093,0.06,2016-07-22,0.03266568958352357,0.0005594167372183991,5.845868567000423e-09,0.4083211197940446,0.006915538305183284,-0.0008869442806144212,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,2.0625,0.050173611111111106,0.0,28.0,25.546875,25.25,75.0,1.3888888888888888,0.0
10,18,0.005327105263157896,0.004494109100877193,0.004081315789473681,"{""C02"": 288}",C02,10.36,1.2378272569444482,0.0,265.524,3.756368923611109,0.0,2016-07-23 00:00:00,263.76,2.5185416666666662,0.0,100.0,0.9548611111111112,0.0,0.375,0.002170138888888889,0.0,0.193825,0.09740274722222222,0.0839346,76.783,66.28350729166664,47.8119,16.5243,16.207761458333337,16.0509,2016-07-23 23:55:00,-7.75,-8.17795138888889,-8.5,4741.776522636414,4495.678196302719,4232.344144105911,1.0,0.6666666666666666,0.0,985611301128.0021,548848928599.06726,228270910902.47754,1.25,0.028862847222222224,0.0,9,1.0,0.19444444444444445,0.0,18.0,18.0,18.0,51.0,30.770833333333332,9.0,720.4499,238.74719062500006,0.0,38.54,29.402447916666656,19.9533,6.66,3.1008854166666655,0.68,2016-07-23,0.07635948712568676,0.001808264802313611,5.134982750121253e-08,0.9544935890710844,0.02250540667644262,-0.00047315345009801835,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,2.0,0.05060763888888889,0.0,27.5,25.624131944444443,24.5,100.0,1.2152777777777777,0.0
1,14,0.009144736842105266,0.004505234831871347,0.004070000000000004,"{""C02"": 288}",C02,12.124,1.2265859548611149,0.0,134.939,3.0582526215277843,0.0,2016-07-24 00:00:00,131.88,1.6027083333333332,0.0,50.0,0.6076388888888888,0.0,0.25,0.0026041666666666665,0.0,0.235601,0.09699525555555556,0.0852417,74.8982,65.79700138888893,51.6314,17.9549,16.211919444444455,16.0466,2016-07-24 23:55:00,-7.75,-8.171006944444445,-8.5,5231.917063951492,4987.6914406584365,4743.552456617355,1.0,0.6666666666666666,0.0,4099979312293.3335,2315011705563.967,947062139240.6042,0.75,0.007378472222222222,0.0,6,1.0,0.2152777777777778,0.0,18.0,18.0,18.0,49.0,28.21527777777778,12.0,746.9826,237.6331291666667,0.0,38.92,28.979131944444436,19.4,6.81,3.072118055555555,0.97,2016-07-24,0.06332141534627633,0.000816834479623583,2.615550509510456e-08,0.7915176918284543,0.010106780668387683,-0.0014393897087211505,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,2.0,0.017838541666666666,0.0,27.5,25.65277777777778,24.75,100.0,1.0416666666666667,0.0
