bayesian_profile,climate_context_id,climate_context_name,comfort_error,context_penalty,electric_kw,energy_cost,gas_kw,gas_penalty,growth_day,guidance_penalty,heating_group_pct,heating_ventilation_conflict_penalty,indoor_air_speed_m_s,indoor_rh_pct,indoor_temp_c,lct_c,learning_elapsed_sec,light_on,mode,model_uncertainty_radius,mpc_score,oscillation_penalty,outdoor_cloud_okta,outdoor_rain_mm_day,outdoor_rh_pct,outdoor_solar_w_m2,outdoor_temp_c,outdoor_wind_m_s,reward,rl_action_key,rl_prior_cost,rl_q_delta,rl_state_key,rl_td_error,robust_margin_penalty,safety_status,state_estimation_temp_error_c,state_estimation_uncertainty_radius,switch_penalty,timestamp,uct_c,ventilation_group_pct
balanced,C02,cluster_02_hot_dry_normal_wind,0.006081578947368421,0.004000000000000001,0.161875,0.161875,0,0.0,,0.0007397120498614959,0.0,0.0,0.17746,57.7846,16.811,-7.75,2.175672769546509,False,TRAIN,1.0,0.7405570056094184,0.0,1,18,34,0.0,24.69,3.72,0.9861361184163648,V025|H000|L0,-0.0,0.07889088947330919,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,0.9861361184163648,0.0,OK,,,0.0,2016-07-15 00:00:00,27,25.0
balanced,C02,cluster_02_hot_dry_normal_wind,0.004883684210526313,0.004000000000000001,0.161875,0.161875,0,0.0,,0.0004770074293628802,0.0,0.0,0.13779,58.5456,16.3558,-7.75,87.91087865829468,False,TRAIN,0.7822236754458713,26.442129333138347,0.0,1,18,30.0833,0.0,26.65,3.6617,0.9875585481547359,V025|H000|L0,-7.768901803705256,0.0013156658153262724,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,0.016445822691578904,0.0,OK,0.0,0.7822236754458713,0.0,2016-07-15 04:05:00,26.75,25.0
balanced,C02,cluster_02_hot_dry_normal_wind,0.007673157894736844,0.0,12.124,209.944,0,0.0,,0.0011775470415512472,0.0,0.75,0.213057,55.0612,17.3554,-8,174.95447254180908,True,TRAIN,0.6088145090359074,1543.4841047412033,0.5,0,18,19.5,437.9745,33.6325,5.9,0.19202221786393892,V100|H075|L1,-0.0,0.015361777429115113,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,0.19202221786393892,0.0,HEAT_OFF_HIGH_EXHAUST,0.0,0.6088145090359074,2.8125,2016-07-15 08:15:00,27.25,100.0
balanced,C02,cluster_02_hot_dry_normal_wind,0.004907105263157893,0.020250000000000004,1.764,1.764,0,0.0,,0.00048159364127423786,0.0,0.0,0.104625,63.6381,16.3647,-8.75,264.1998209953308,True,TRAIN,0.4738479773082268,13187.467907134782,0.0,0,18,17.5833,788.618,35.9375,4.9783,0.9425792956921766,V000|H000|L1,-7.534661926652589,5.972438884827014e-05,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,0.0007465548606029326,0.0,OK,0.0,0.4738479773082268,0.0,2016-07-15 12:25:00,25.5,0.0
balanced,C02,cluster_02_hot_dry_normal_wind,0.004482631578947365,0.020250000000000004,1.764,1.764,0,0.0,,0.00040187971745152284,0.0,0.0,0.0976528,64.0593,16.2034,-8.25,351.1459228992462,True,TRAIN,0.36880183088056995,93405.46655914259,0.0,0,18,21.5,277.2651,30.6292,3.5592,0.9430274570436236,V000|H000|L1,-7.543189250935654,1.030405413338098e-05,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,0.00012880067666676265,0.0,OK,0.0,0.36880183088056995,0.0,2016-07-15 16:35:00,25.75,0.0
balanced,C02,cluster_02_hot_dry_normal_wind,0.004286052631578943,0.020250000000000004,1.764,1.764,0,0.0,,0.0003674049432132957,0.0,0.0,0.0942554,65.7634,16.1287,-8,439.55440044403076,True,TRAIN,0.28704309604425327,442802.9071003336,0.0,1,18,26,0.0,27.3125,2.86,0.9432329780805446,V000|H000|L1,-7.545561429237512,3.023954068481771e-06,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,3.779942585557805e-05,0.0,OK,0.0,0.28704309604425327,0.0,2016-07-15 20:45:00,25.75,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.004184473684210525,0.020250000000000004,0,0.0,0,0.0,,0.0003501964002770082,0.0,0.0,0.0918806,65.7696,16.0901,-8,549.0508003234863,False,TRAIN,0.22340924607110255,1509625.5656471795,0.0,1,18,29,0.0,24.05,2.3567,0.975814753276467,V000|H000|L0,-4.68663705324274,0.031198809729689914,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,0.38998512162112453,0.0,OK,0.0,0.22340924607110255,0.0,2016-07-16 00:55:00,25.75,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.004257894736842102,0.020250000000000004,1.764,1.764,0,0.0,,0.0003625933518005534,0.0,0.0,0.0888192,65.1182,16.118,-8,644.0702846050262,True,TRAIN,0.17388222158237718,4076379.9502427345,0.0,0,18,15.1667,0.0,31.0233,1.7942,0.9432623115638151,V000|H000|L1,-0.6036959450288472,0.06942402547481676,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,0.8678003184352092,0.0,OK,0.0,0.17388222158237718,0.0,2016-07-16 05:05:00,26,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.004680526315789476,0.020250000000000004,1.764,1.764,0,0.0,,0.00043814653185595613,0.0,0.0,0.0967763,59.4119,16.2786,-8.5,731.0150423049927,True,TRAIN,0.1353347165085562,9593492.788011884,0.0,0,18,11.25,595.2065,36.85,3.3875,0.9428192629659217,V000|H000|L1,-7.435826134074863,0.001067279696525092,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,0.013340996206563815,0.0,OK,0.0,0.1353347165085562,0.0,2016-07-16 09:15:00,26,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.004711315789473681,0.020250000000000004,1.764,1.764,0,0.0,,0.0004439299293628801,0.0,0.0,0.0959159,57.2919,16.2903,-8.5,830.1960518360138,True,TRAIN,0.10533270926593409,17481223.003332276,0.0,0,18,8.6667,743.0174,37.7617,3.2058,0.9427867541631453,V000|H000|L1,-7.5404945576703195,1.7994756348449492e-05,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,0.0002249344543553411,0.0,OK,0.0,0.10533270926593409,0.0,2016-07-16 13:25:00,26.25,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.004198684210526319,0.020250000000000004,1.764,1.764,0,0.0,,0.0003525789819944604,0.0,0.0,0.0858567,66.7256,16.0955,-8,938.289297580719,True,TRAIN,0.08198177029173696,24740906.31996804,0.0,0,18,14.75,83.9485,29.3742,1.1567,0.943323908007221,V000|H000|L1,-7.545729151120975,8.621129367947233e-06,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,0.00010776411709911837,0.0,OK,0.0,0.08198177029173696,0.0,2016-07-16 17:35:00,25.75,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.004146578947368424,0.020250000000000004,0,0.0,0,0.0,,0.0003438823393351806,0.0,0.0,0.0901521,71.1565,16.0757,-8,1031.3910601139069,False,TRAIN,0.06380744126877576,35034425.52813038,0.0,4,18,44.75,0.0,22.8275,2.01,0.9758568513478636,V000|H000|L0,-7.781944417373451,0.00024910393409460774,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,0.0031137991761822637,0.0,OK,0.0,0.06380744126877576,0.0,2016-07-16 21:45:00,25.25,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.0041010526315789445,0.020250000000000004,0,0.0,0,0.0,,0.0003363726537396117,0.0,0.0,0.0873002,73.8087,16.0584,-8,1144.0012245178223,False,TRAIN,0.05,45880114.42821233,0.0,3,18,59.8333,0.0,21.4108,1.4233,0.9759073599654602,V000|H000|L0,-7.806679527165714,5.793525579722569e-06,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,7.2419069745977e-05,0.0,OK,0.0,0.05,0.0,2016-07-17 01:55:00,25,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.0042271052631578975,0.020250000000000004,1.764,1.764,0,0.0,,0.00035736837811634395,0.0,0.0,0.0888164,73.4114,16.1063,-8,1232.7298831939697,True,TRAIN,0.05,60684156.49615641,0.0,2,18,36.8333,14.2645,28.9017,1.7183,0.943294356283248,V000|H000|L1,-7.546290031308797,6.481895719057107e-07,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,8.102369648321783e-06,0.0,OK,0.0,0.05,0.0,2016-07-17 06:05:00,25,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.004483684210526319,0.020250000000000004,1.764,1.764,0,0.0,,0.0004020684819944604,0.0,0.0,0.0905318,67.711,16.2038,-8.5,1320.063460111618,True,TRAIN,0.05,82598160.53762077,0.0,2,18,17.5,600.9047,35.4225,2.07,0.9430263530703706,V000|H000|L1,-7.544390023286715,1.7919872374871915e-06,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,-2.2399840468700916e-05,0.0,OK,0.0,0.05,0.0,2016-07-17 10:15:00,25,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.004367105263157898,0.020250000000000004,1.764,1.764,0,0.0,,0.0003814321675900283,0.0,0.0,0.0881899,67.9867,16.1595,-8.5,1407.4954495429993,True,TRAIN,0.05,103236224.62071112,0.0,2,18,14.3333,506.716,34.3042,0.89,0.9431483942164726,V000|H000|L1,-7.544838558280974,3.485954508053446e-06,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,4.357443135083461e-05,0.0,OK,0.0,0.05,0.0,2016-07-17 14:25:00,25.25,0.0
