bayesian_profile,climate_context_id,climate_context_name,comfort_error,context_penalty,electric_kw,energy_cost,gas_kw,gas_penalty,growth_day,guidance_penalty,heating_group_pct,heating_ventilation_conflict_penalty,indoor_air_speed_m_s,indoor_rh_pct,indoor_temp_c,lct_c,learning_elapsed_sec,light_on,mode,model_uncertainty_radius,mpc_score,oscillation_penalty,outdoor_cloud_okta,outdoor_rain_mm_day,outdoor_rh_pct,outdoor_solar_w_m2,outdoor_temp_c,outdoor_wind_m_s,reward,rl_action_key,rl_prior_cost,rl_q_delta,rl_state_key,rl_td_error,robust_margin_penalty,safety_status,state_estimation_temp_error_c,state_estimation_uncertainty_radius,switch_penalty,timestamp,uct_c,ventilation_group_pct
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.0034081578947368417,0.0,12.124,12.124,0,0.0,,0.0002323108047091412,0.0,0.0,0.246384,51.9499,15.7951,-14,505162.10225462914,True,TRAIN,0.05,3.842001902820196e+292,0.0,1,2.64,59.3333,64.1079,13.18,1.3067,0.8024906300140325,V100|H000|L1,-6.421451194223103,1.526154110842448e-05,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.00019076926385530601,0.0,OK,0.0,0.05,0.0,2019-04-09 06:20:00,24.5,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.0034026315789473663,0.0,12.124,12.124,0,0.0,,0.00023155803324099693,0.0,0.0,0.246727,52.1325,15.793,-14.25,505163.811419487,True,TRAIN,0.05,3.854950971081958e+292,0.0,1,2.64,59.6667,79.4123,13.1475,1.3608,0.802494673711417,V100|H000|L1,-6.421329101894235,1.37171220290222e-05,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.00017146402536238892,0.0,OK,0.0,0.05,0.0,2019-04-09 06:25:00,24.5,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.0033971052631578966,0.0,12.124,12.124,0,0.0,,0.0002308064833795016,0.0,0.0,0.247014,52.3134,15.7909,-14.25,505165.4913625717,True,TRAIN,0.05,3.867933479978773e+292,0.0,1,2.64,60,94.4139,13.115,1.415,0.8024987166628338,V100|H000|L1,-6.421219364918003,1.2296316153292963e-05,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.00015370395191660613,0.0,OK,0.0,0.05,0.0,2019-04-09 06:30:00,24.5,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.0033915789473684213,0.0,12.124,12.124,0,0.0,,0.00023005615512465376,0.0,0.0,0.247281,52.4933,15.7888,-14.25,505167.06576633453,True,TRAIN,0.05,3.8809494401902723e+292,0.0,1,2.64,60.3333,109.1063,13.0825,1.4692,0.8025027588682595,V100|H000|L1,-6.421120994388777,1.098923442699462e-05,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.0001373654303375993,0.0,OK,0.0,0.05,0.0,2019-04-09 06:35:00,24.5,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.003385789473684211,0.0,12.124,12.124,0,0.0,,0.00022927140720221614,0.0,0.0,0.247542,52.6724,15.7866,-14.25,505168.800062418,True,TRAIN,0.05,3.893696227108588e+292,0.0,1,2.64,60.6667,123.4831,13.05,1.5233,0.802506992759511,V100|H000|L1,-6.421033080513361,9.771384372747605e-06,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.000122142304659123,0.0,OK,0.0,0.05,0.0,2019-04-09 06:40:00,24.5,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.0033799999999999998,0.0,12.124,12.124,0,0.0,,0.00022848799999999997,0.0,0.0,0.247801,52.8506,15.7844,-14.25,505170.37366580963,True,TRAIN,0.05,3.9064734581600804e+292,0.0,1,2.64,61,137.5387,13.0175,1.5775,0.8025112258319812,V100|H000|L1,-6.420954909438379,8.651027825323787e-06,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.00010813784781615876,0.0,OK,0.0,0.05,0.0,2019-04-09 06:45:00,24.25,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.0033742105263157886,0.0,12.124,12.124,0,0.0,,0.00022770593351800544,0.0,0.0,0.24806,53.028,15.7822,-14.25,505171.9479598999,True,TRAIN,0.05,3.919281119116411e+292,0.0,1,2.64,61.3333,151.2672,12.985,1.6317,0.8025154580856434,V100|H000|L1,-6.420885701215776,7.620365306326704e-06,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-9.525456632863971e-05,0.0,OK,0.0,0.05,0.0,2019-04-09 06:50:00,24.25,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.003368421052631578,0.0,12.124,12.124,0,0.0,,0.0002269252077562325,0.0,0.0,0.248319,53.2045,15.78,-14.25,505173.5229358673,True,TRAIN,0.05,3.932119194845851e+292,0.0,1,2.64,61.6667,164.6635,12.9525,1.6858,0.8025196895204711,V100|H000|L1,-6.420824738293326,6.672221295578318e-06,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-8.340276619456244e-05,0.0,OK,0.0,0.05,0.0,2019-04-09 06:55:00,24.25,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.00336236842105263,0.0,12.124,12.124,0,0.0,,0.0002261104279778391,0.0,0.0,0.248578,53.3802,15.7777,-14.25,505175.25469493866,True,TRAIN,0.05,3.94467893650845e+292,0.0,1,2.64,62,177.7224,12.92,1.74,0.8025241124177065,V100|H000|L1,-6.420771360522961,5.784611813108853e-06,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-7.230764766363862e-05,0.0,OK,0.0,0.05,0.0,2019-04-09 07:00:00,24.25,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.0033884210526315774,0.0,12.124,12.124,0,0.0,,0.00022962794459833774,0.0,0.0,0.248682,53.4425,15.7876,-14.25,505176.82939600945,True,TRAIN,0.05,3.995119700744713e+292,0.0,1,2.72,61.4167,191.5274,13.0817,1.7442,0.8025050683649878,V100|H000|L1,-6.420725083628456,6.845367085506204e-06,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-8.556708856921613e-05,0.0,OK,0.0,0.05,0.0,2019-04-09 07:05:00,24.25,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.0034239473684210524,0.0,12.124,12.124,0,0.0,,0.000234468311634349,0.0,0.0,0.248731,53.4627,15.8011,-14.25,505178.55808258057,True,TRAIN,0.05,4.057192057977744e+292,0.0,1,2.8,60.8333,205.1482,13.2433,1.7483,0.8024790724827063,V100|H000|L1,-6.420670320691772,8.377408301174505e-06,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.00010471760376518091,0.0,OK,0.0,0.05,0.0,2019-04-09 07:10:00,24.25,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.0034626315789473673,0.0,12.124,12.124,0,0.0,,0.00023979634903047075,0.0,0.0,0.248761,53.4659,15.8158,-14.25,505180.15555882454,True,TRAIN,0.05,4.123545904570402e+292,0.0,1,2.88,60.25,218.5788,13.405,1.7525,0.8024507307992584,V100|H000|L1,-6.420603301425363,9.974550312930042e-06,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.00012468187891190308,0.0,OK,0.0,0.05,0.0,2019-04-09 07:15:00,24.25,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.003501842105263159,0.0,12.124,12.124,0,0.0,,0.00024525796260387825,0.0,0.0,0.248785,53.4598,15.8307,-14.25,505181.88412833214,True,TRAIN,0.05,4.1910917676606595e+292,0.0,1,2.96,59.6667,231.8137,13.5667,1.7567,0.8024219662255314,V100|H000|L1,-6.420523505022859,1.1477752186128676e-05,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.00014347190232599782,0.0,OK,0.0,0.05,0.0,2019-04-09 07:20:00,24.25,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.0035413157894736863,0.0,12.124,12.124,0,0.0,,0.0002508183504155128,0.0,0.0,0.248806,53.4468,15.8457,-14.25,505183.6291794777,True,TRAIN,0.05,4.259526529420347e+292,0.0,1,3.04,59.0833,244.847,13.7283,1.7608,0.8023929706894609,V100|H000|L1,-6.42043168300537,1.2879174896784917e-05,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.00016098968621036658,0.0,OK,0.0,0.05,0.0,2019-04-09 07:25:00,24.25,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.003581052631578946,0.0,12.124,12.124,0,0.0,,0.0002564787590027699,0.0,0.0,0.248827,53.428,15.8608,-14.25,505185.2326927185,True,TRAIN,0.05,4.328858972833007e+292,0.0,2,3.12,58.5,257.6735,13.89,1.765,0.8023637434388391,V100|H000|L1,-6.420328649606196,1.4187020954792295e-05,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.0001773377619354033,0.0,OK,0.0,0.05,0.0,2019-04-09 07:30:00,24.25,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.0036205263157894733,0.0,12.124,12.124,0,0.0,,0.000262164216066482,0.0,0.0,0.248847,53.4034,15.8758,-14.25,505186.9792845249,True,TRAIN,0.05,4.398458550630343e+292,0.0,2,3.2,57.9167,270.2878,14.0517,1.7692,0.8023346715980992,V100|H000|L1,-6.420215153438558,1.537780653759757e-05,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.00019222258172046924,0.0,OK,0.0,0.05,0.0,2019-04-09 07:35:00,24.25,100.0
balanced,C00,cluster_00_mild_normal_humidity_normal_wind,0.003660000000000002,0.0,12.124,12.124,0,0.0,,0.00026791200000000025,0.0,0.0,0.248867,53.3726,15.8908,-14,505188.61990737915,True,TRAIN,0.05,4.468645902731332e+292,0.0,2,3.28,57.3333,282.6847,14.2133,1.7733,0.8023055617445407,V100|H000|L1,-6.420092130986257,1.6476370299334242e-05,ctx=C00|phase=P_UNKNOWN|band=inside_high|hum=normal,-0.00020595462874140047,0.0,OK,0.0,0.05,0.0,2019-04-09 07:40:00,24.25,100.0
