id,fattening_day,updated_at,preferred_temp_low_c,preferred_temp_high_c,heat_production_feedback,comfort_weight_bias,gas_weight_bias,energy_weight_bias,status,best_reference_id,reference_score,confidence,ventilation_bias,heating_bias,diet_phase_guidance,biological_phase,climate_context_id,growth_state_hash,top_k_reference_ids,reference_distance_delta,preferred_temp_position,growth_priority,reason_code
1,1,2026-05-17 19:38:18,5.0,24.0,0.22500000000000003,1.0,1.0,1.0,SARG_POLICY,R001,-99.56658333333334,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C02,3dd708620be9d86c,"[""R001"", ""R006"", ""R026""]",2002.0,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
2,2,2026-05-17 19:38:18,5.0,24.0,0.0675188694553508,1.0,1.0,1.0,SARG_POLICY,R001,-44.91871829625762,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C10,9ea6f617f1d73d70,"[""R001"", ""R006"", ""R026""]",908.5704584244967,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
3,3,2026-05-17 19:38:18,5.0,24.0,0.04168860257956114,1.0,1.0,1.0,SARG_POLICY,R001,-121.92109814102149,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C10,d9dc8e98721b76fc,"[""R001"", ""R006"", ""R026""]",2449.025891204392,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
4,4,2026-05-17 19:38:18,5.0,24.0,0.025985157687216653,1.0,1.0,1.0,SARG_POLICY,R001,-125.05226652768762,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C02,04fe934109ea6389,"[""R001"", ""R006"", ""R026""]",2511.689127852126,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
5,5,2026-05-17 19:38:18,5.0,24.0,0.03362030445690728,1.0,1.0,1.0,SARG_POLICY,R001,-127.17275375678408,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C02,dbd5c8829b1eb75c,"[""R001"", ""R006"", ""R026""]",2554.069069227141,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
6,6,2026-05-17 19:38:19,5.0,24.0,0.046904446248731024,1.0,1.0,1.0,SARG_POLICY,R001,-128.72380562395077,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C02,074d9a932922117a,"[""R001"", ""R006"", ""R026""]",2585.0565789275674,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
7,7,2026-05-17 19:38:19,5.0,24.0,0.04049798439990154,1.0,1.0,1.0,SARG_POLICY,R001,-129.90512996731368,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C10,862421c297753fe2,"[""R001"", ""R006"", ""R026""]",2608.699395322063,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
8,8,2026-05-17 19:38:19,5.0,24.0,0.05444847492212701,1.0,1.0,1.0,SARG_POLICY,R001,-130.83156047541567,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C10,998a92598b2d1c4d,"[""R001"", ""R006"", ""R026""]",2627.1927480735512,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
9,9,2026-05-17 19:38:19,5.0,24.0,0.07175430391274612,1.0,1.0,1.0,SARG_POLICY,R001,-131.5673908051646,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C02,d82ce4fc7afe2993,"[""R001"", ""R006"", ""R026""]",2641.8655865707337,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
10,10,2026-05-17 19:38:19,5.0,24.0,0.05756519389502529,1.0,1.0,1.0,SARG_POLICY,R001,-132.15159645018468,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C02,830b70975badfc75,"[""R001"", ""R006"", ""R026""]",2653.5857113977363,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
11,11,2026-05-17 19:38:19,5.0,24.0,0.08658500787282958,1.0,1.0,1.0,SARG_POLICY,R001,-132.6235942118154,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C10,18c30e8e0fad126a,"[""R001"", ""R006"", ""R026""]",2662.95221093095,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
12,12,2026-05-17 19:38:19,5.0,24.0,0.08603842506446463,1.0,1.0,1.0,SARG_POLICY,R001,-132.99574700600056,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C02,58b68746ebf74e2c,"[""R001"", ""R006"", ""R026""]",2670.3967090500264,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
13,13,2026-05-17 19:38:19,5.0,24.0,0.10010411830067228,1.0,1.0,1.0,SARG_POLICY,R001,-133.28973470210983,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C02,c4a16eab97e91e12,"[""R001"", ""R006"", ""R026""]",2676.240884799934,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
14,14,2026-05-17 19:38:19,5.0,24.0,0.10642556226876965,1.0,1.0,1.0,SARG_POLICY,R001,-133.51504696625804,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C08,766ced0a50c2394b,"[""R001"", ""R006"", ""R026""]",2680.7311687006863,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
15,15,2026-05-17 19:38:19,5.0,24.0,0.04353304566018895,1.0,1.0,1.0,SARG_POLICY,R001,-133.67355486659395,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C02,dd547f24bd5e9156,"[""R001"", ""R006"", ""R026""]",2684.060705852632,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
16,16,2026-05-17 19:38:19,5.0,24.0,0.017551122325411672,1.0,1.0,1.0,SARG_POLICY,R001,-133.78641710059253,0.5,0.25,0.35,phase=P1;diet_like=1,P1,C10,9ca6a34bdf112a04,"[""R001"", ""R006"", ""R026""]",2686.3838216680024,center_to_upper_band,recover_growth_gap,SARG:P1:simulator_reference:risk_heat=False:risk_cold=False:diet=1
