reference_id,kind,simulator_score,P1,P2,P3,P4,P5,final_TBW,mean_ADG,total_feed_intake,mean_FE,final_beef_production,mean_heat_production,mean_heat_stress,mean_cold_stress
R001,baseline_full_diet,0.888957,1,1,1,1,1,931.832644,0.888833,5409.894965,0.348313,502.617389,6.425376,0.144,0.448
R026,monotonic_mixed_program,0.863926,1,1,1,1,2,907.414745,0.891153,6230.800342,0.343333,480.212519,6.433922,0.144,0.448
R029,monotonic_mixed_program,0.863851,1,1,1,1,5,907.505027,0.891148,6238.922642,0.343296,480.301609,6.433888,0.144,0.448
R027,monotonic_mixed_program,0.861159,1,1,1,1,3,905.784376,0.891262,6353.900994,0.342596,478.952169,6.434511,0.144,0.448
R038,monotonic_mixed_program,0.857852,1,1,1,4,5,907.505027,0.900674,6605.613292,0.339401,480.301609,6.444675,0.144,0.448
R028,monotonic_mixed_program,0.853668,1,1,1,1,4,871.00047,0.893637,5749.855787,0.346089,452.443162,6.446729,0.144,0.448
R037,monotonic_mixed_program,0.847669,1,1,1,4,4,871.00047,0.903163,6116.546436,0.342195,452.443162,6.457516,0.144,0.448
R057,monotonic_mixed_program,0.836565,1,1,4,4,5,907.505027,0.834203,6621.22982,0.32786,480.301609,5.922089,0.135,0.427
R030,monotonic_mixed_program,0.83422,1,1,1,2,2,907.414745,0.89573,7268.394419,0.332042,480.212519,6.445442,0.4365,0.448
R033,monotonic_mixed_program,0.834145,1,1,1,2,5,907.505027,0.895725,7276.516719,0.332004,480.301609,6.445408,0.4365,0.448
R039,monotonic_mixed_program,0.833732,1,1,1,5,5,907.505027,0.895699,7299.431209,0.331824,480.301609,6.445257,0.4365,0.448
R036,monotonic_mixed_program,0.832455,1,1,1,3,5,907.505027,0.896297,7354.079448,0.331541,480.301609,6.4481,0.4545,0.448
R031,monotonic_mixed_program,0.831453,1,1,1,2,3,905.784376,0.895839,7391.495071,0.331305,478.952169,6.44603,0.4365,0.448
R034,monotonic_mixed_program,0.829763,1,1,1,3,3,905.784376,0.896411,7469.0578,0.330841,478.952169,6.448723,0.4545,0.448
R048,monotonic_mixed_program,0.828031,1,1,2,4,5,907.505027,0.896568,7143.326031,0.325713,480.301609,6.364169,0.486,0.4095
R056,monotonic_mixed_program,0.826382,1,1,4,4,4,871.00047,0.836692,6132.162964,0.330653,452.443162,5.934931,0.135,0.427
R090,monotonic_mixed_program,0.824128,1,4,4,4,5,907.505027,0.825573,6629.577506,0.320695,480.301609,5.85177,0.2655,0.42
R032,monotonic_mixed_program,0.823962,1,1,1,2,4,871.00047,0.898214,6787.449863,0.334798,452.443162,6.458249,0.4365,0.448
R054,monotonic_mixed_program,0.822817,1,1,3,4,5,907.505027,0.893765,7332.85952,0.322678,480.301609,6.343329,0.4815,0.3885
R035,monotonic_mixed_program,0.822272,1,1,1,3,4,871.00047,0.898786,6865.012593,0.334334,452.443162,6.460941,0.4545,0.448
R139,monotonic_mixed_program,0.818329,4,4,4,4,5,907.505027,0.825511,6630.709373,0.314917,480.301609,5.851609,0.2655,0.42
R135,monotonic_mixed_program,0.818279,3,4,4,4,5,907.505027,0.831391,6641.789841,0.314653,480.301609,5.842987,0.288,0.4025
R047,monotonic_mixed_program,0.817847,1,1,2,4,4,871.00047,0.899057,6654.259175,0.328506,452.443162,6.377011,0.486,0.4095
R089,monotonic_mixed_program,0.813944,1,4,4,4,4,871.00047,0.828062,6140.51065,0.323488,452.443162,5.864612,0.2655,0.42
R123,monotonic_mixed_program,0.813101,2,4,4,4,5,907.505027,0.831254,6635.751446,0.308769,480.301609,5.845816,0.2655,0.4165
R053,monotonic_mixed_program,0.812634,1,1,3,4,4,871.00047,0.896254,6843.792664,0.325472,452.443162,6.35617,0.4815,0.3885
R058,monotonic_mixed_program,0.812445,1,1,4,5,5,907.505027,0.829228,7315.047737,0.320283,480.301609,5.922672,0.4275,0.427
R004,baseline_full_diet,0.808145,4,4,4,4,4,871.00047,0.828,6141.642517,0.31771,452.443162,5.864451,0.2655,0.42
R134,monotonic_mixed_program,0.808095,3,4,4,4,4,871.00047,0.83388,6152.722985,0.317446,452.443162,5.855828,0.288,0.4025
R040,monotonic_mixed_program,0.804398,1,1,2,2,2,907.414745,0.891624,7806.107158,0.318354,480.212519,6.364937,0.7785,0.4095
R043,monotonic_mixed_program,0.804323,1,1,2,2,5,907.505027,0.891619,7814.229458,0.318316,480.301609,6.364903,0.7785,0.4095
