bayesian_profile,climate_context_id,climate_context_name,comfort_error,context_penalty,electric_kw,energy_cost,gas_kw,gas_penalty,growth_day,guidance_penalty,heating_group_pct,heating_ventilation_conflict_penalty,indoor_air_speed_m_s,indoor_rh_pct,indoor_temp_c,lct_c,learning_elapsed_sec,light_on,mode,model_uncertainty_radius,mpc_score,oscillation_penalty,outdoor_cloud_okta,outdoor_rain_mm_day,outdoor_rh_pct,outdoor_solar_w_m2,outdoor_temp_c,outdoor_wind_m_s,reward,rl_action_key,rl_prior_cost,rl_q_delta,rl_state_key,rl_td_error,robust_margin_penalty,safety_status,state_estimation_temp_error_c,state_estimation_uncertainty_radius,switch_penalty,timestamp,uct_c,ventilation_group_pct
balanced,C02,cluster_02_hot_dry_normal_wind,0.0060815789473684,0.004,0.161875,0.161875,0.0,0.0,,0.0007397120498614,0.0,0.0,0.17746,57.7846,16.811,-7.75,2.175672769546509,False,TRAIN,1.0,0.7405570056094184,0.0,1,18.0,34.0,0.0,24.69,3.72,0.9861361184163648,V025|H000|L0,-0.0,0.0788908894733091,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,0.9861361184163648,0.0,OK,,,0.0,2016-07-15 00:00:00,27.0,25.0
balanced,C02,cluster_02_hot_dry_normal_wind,0.0048836842105263,0.004,0.161875,0.161875,0.0,0.0,,0.0004770074293628,0.0,0.0,0.13779,58.5456,16.3558,-7.75,87.91087865829468,False,TRAIN,0.7822236754458713,26.442129333138347,0.0,1,18.0,30.0833,0.0,26.65,3.6617,0.987558548154736,V025|H000|L0,-7.768901803705256,0.0013156658153262,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,0.0164458226915789,0.0,OK,0.0,0.7822236754458713,0.0,2016-07-15 04:05:00,26.75,25.0
balanced,C02,cluster_02_hot_dry_normal_wind,0.0076731578947368,0.0,12.124,209.944,0.0,0.0,,0.0011775470415512,0.0,0.75,0.213057,55.0612,17.3554,-8.0,174.95447254180908,True,TRAIN,0.6088145090359074,1543.4841047412033,0.5,0,18.0,19.5,437.9745,33.6325,5.9,0.1920222178639389,V100|H075|L1,-0.0,0.0153617774291151,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,0.1920222178639389,0.0,HEAT_OFF_HIGH_EXHAUST,0.0,0.6088145090359074,2.8125,2016-07-15 08:15:00,27.25,100.0
balanced,C02,cluster_02_hot_dry_normal_wind,0.0049071052631578,0.02025,1.764,1.764,0.0,0.0,,0.0004815936412742,0.0,0.0,0.104625,63.6381,16.3647,-8.75,264.1998209953308,True,TRAIN,0.4738479773082268,13187.467907134782,0.0,0,18.0,17.5833,788.618,35.9375,4.9783,0.9425792956921766,V000|H000|L1,-7.534661926652589,5.972438884827014e-05,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,0.0007465548606029,0.0,OK,0.0,0.4738479773082268,0.0,2016-07-15 12:25:00,25.5,0.0
balanced,C02,cluster_02_hot_dry_normal_wind,0.0044826315789473,0.02025,1.764,1.764,0.0,0.0,,0.0004018797174515,0.0,0.0,0.0976528,64.0593,16.2034,-8.25,351.1459228992462,True,TRAIN,0.3688018308805699,93405.4665591426,0.0,0,18.0,21.5,277.2651,30.6292,3.5592,0.9430274570436236,V000|H000|L1,-7.543189250935654,1.030405413338098e-05,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,0.0001288006766667,0.0,OK,0.0,0.3688018308805699,0.0,2016-07-15 16:35:00,25.75,0.0
balanced,C02,cluster_02_hot_dry_normal_wind,0.0042860526315789,0.02025,1.764,1.764,0.0,0.0,,0.0003674049432132,0.0,0.0,0.0942554,65.7634,16.1287,-8.0,439.5544004440308,True,TRAIN,0.2870430960442532,442802.9071003336,0.0,1,18.0,26.0,0.0,27.3125,2.86,0.9432329780805446,V000|H000|L1,-7.545561429237512,3.023954068481771e-06,ctx=C02|phase=P_UNKNOWN|band=inside_high|hum=normal,3.779942585557805e-05,0.0,OK,0.0,0.2870430960442532,0.0,2016-07-15 20:45:00,25.75,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.0041844736842105,0.02025,0.0,0.0,0.0,0.0,,0.000350196400277,0.0,0.0,0.0918806,65.7696,16.0901,-8.0,549.0508003234863,False,TRAIN,0.2234092460711025,1509625.5656471795,0.0,1,18.0,29.0,0.0,24.05,2.3567,0.975814753276467,V000|H000|L0,-4.68663705324274,0.0311988097296899,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,0.3899851216211245,0.0,OK,0.0,0.2234092460711025,0.0,2016-07-16 00:55:00,25.75,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.0042578947368421,0.02025,1.764,1.764,0.0,0.0,,0.0003625933518005,0.0,0.0,0.0888192,65.1182,16.118,-8.0,644.0702846050262,True,TRAIN,0.1738822215823771,4076379.950242735,0.0,0,18.0,15.1667,0.0,31.0233,1.7942,0.9432623115638152,V000|H000|L1,-0.6036959450288472,0.0694240254748167,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,0.8678003184352092,0.0,OK,0.0,0.1738822215823771,0.0,2016-07-16 05:05:00,26.0,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.0046805263157894,0.02025,1.764,1.764,0.0,0.0,,0.0004381465318559,0.0,0.0,0.0967763,59.4119,16.2786,-8.5,731.0150423049927,True,TRAIN,0.1353347165085562,9593492.788011884,0.0,0,18.0,11.25,595.2065,36.85,3.3875,0.9428192629659216,V000|H000|L1,-7.435826134074863,0.001067279696525,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,0.0133409962065638,0.0,OK,0.0,0.1353347165085562,0.0,2016-07-16 09:15:00,26.0,0.0
balanced,C10,cluster_10_hot_dry_normal_wind,0.0047113157894736,0.02025,1.764,1.764,0.0,0.0,,0.0004439299293628,0.0,0.0,0.0959159,57.2919,16.2903,-8.5,830.1960518360138,True,TRAIN,0.105332709265934,17481223.003332276,0.0,0,18.0,8.6667,743.0174,37.7617,3.2058,0.9427867541631452,V000|H000|L1,-7.540494557670319,1.7994756348449492e-05,ctx=C10|phase=P_UNKNOWN|band=inside_high|hum=normal,0.0002249344543553,0.0,OK,0.0,0.105332709265934,0.0,2016-07-16 13:25:00,26.25,0.0
